"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.92498662982103,0.39,0.071,0,"0","PLA2G2A"
0,5.48712469739961,0.3,0.021,0,"0","WISP2"
0,5.40637987376127,0.312,0.02,0,"0","RBP4"
0,5.39020789704185,0.29,0.011,0,"0","SLPI"
0,5.28840468186774,0.723,0.21,0,"0","SFRP2"
0,5.24143126300441,0.463,0.064,0,"0","COMP"
0,4.52339677453548,0.507,0.117,0,"0","SFRP4"
0,4.5164385142486,0.671,0.101,0,"0","CXCL14"
0,4.51252278655496,0.305,0.019,0,"0","PRG4"
0,4.04856510195655,0.266,0.014,0,"0","AOX1"
0,3.95513735644593,0.461,0.05,0,"0","MFAP5"
0,3.94818359547067,0.25,0.019,0,"0","KCNK15"
0,3.88750044683322,0.366,0.035,0,"0","MEDAG"
0,3.78723898650866,0.546,0.09,0,"0","FGF7"
0,3.63514505953098,0.532,0.056,0,"0","RP11-572C15.6"
0,3.62913499320252,0.838,0.289,0,"0","FBLN1"
0,3.57218049908668,0.399,0.034,0,"0","CHRDL1"
0,3.47978010382143,0.468,0.106,0,"0","EFEMP1"
0,3.4710899313924,0.894,0.281,0,"0","CCDC80"
0,3.40489938656136,0.366,0.03,0,"0","ITGBL1"
0,3.35608091204882,0.694,0.184,0,"0","NNMT"
0,3.34416864205854,0.406,0.099,0,"0","C7"
0,3.32806336432323,0.542,0.129,0,"0","RARRES1"
0,3.31949643884766,0.892,0.332,0,"0","SERPINF1"
0,3.29777545275942,0.653,0.274,0,"0","CLU"
0,3.28137051422512,0.481,0.086,0,"0","PDGFRL"
0,3.20900333538593,0.47,0.058,0,"0","GAS1"
0,3.20394792524587,0.494,0.122,0,"0","C11orf96"
0,3.198075001488,0.41,0.045,0,"0","PTGFR"
0,3.16394104217076,0.604,0.152,0,"0","IGF1"
0,3.34558175516669,0.659,0.161,0,"1","SCXA"
0,3.15849721172321,0.62,0.118,0,"1","CRABP1"
0,3.11853253124536,0.512,0.08,0,"1","TNMD"
0,2.99575027136276,0.319,0.051,0,"1","EGFL6"
0,2.95268201279484,0.279,0.048,0,"1","ZNF185"
0,2.75115891512253,0.517,0.095,0,"1","CHODL"
0,2.68214642047058,0.824,0.277,0,"1","NPW"
0,2.68096324830786,0.338,0.069,0,"1","PRSS35"
0,2.6366646055088,0.896,0.288,0,"1","DLK1"
1.41680001112413e-293,2.58868648959206,0.271,0.049,4.49989851533134e-289,"1","BEND5"
1.17260627920893e-286,2.5865450697152,0.265,0.049,3.72431480339548e-282,"1","RP11-38H17.1"
2.67608549434656e-276,2.5364072215021,0.266,0.051,8.49951513859412e-272,"1","HOXB13"
0,2.49692444813407,0.654,0.163,0,"1","FIBIN"
5.44734470067373e-312,2.4728716889427,0.281,0.05,1.73013115038098e-307,"1","EPHA7"
0,2.45482871660996,0.558,0.105,0,"1","BMP5"
0,2.418116055921,0.477,0.105,0,"1","KAZALD1"
6.06149303021403e-268,2.41470333880294,0.34,0.085,1.92519080132628e-263,"1","MEOX1"
0,2.40839987960944,0.873,0.325,0,"1","THBS4"
0,2.36457762289178,0.892,0.348,0,"1","ITM2A"
1.28888954184187e-199,2.29682504411216,0.259,0.063,4.09364207384396e-195,"1","DPT"
1.63458718784266e-199,2.28482690960763,0.299,0.084,5.19161236730707e-195,"1","MIR503HG"
0,2.26234231405386,0.457,0.123,0,"1","SIX1"
0,2.2217066856871,0.557,0.133,0,"1","RNF212"
1.55476681146776e-232,2.20799193111404,0.277,0.063,4.93809486990274e-228,"1","ASS1"
2.31075618752834e-284,2.18566357133358,0.412,0.12,7.33919272720877e-280,"1","FBXO17"
0,2.17722047428413,0.582,0.148,0,"1","FSTL5"
1.45369179159047e-280,2.1573557540845,0.312,0.068,4.6170704992705e-276,"1","FAT3"
1.2554096304958e-226,2.13661973044514,0.259,0.056,3.98730652741771e-222,"1","CNTFR"
1.89961480434765e-219,2.09106795592206,0.373,0.119,6.03336658008858e-215,"1","ANGPTL1"
0,2.08190605260648,0.944,0.33,0,"1","OGN"
0,3.89526574540536,0.769,0.078,0,"2","CD163"
0,3.79162201813451,0.724,0.071,0,"2","SLCO2B1"
0,3.77656223997134,0.661,0.205,0,"2","RNASE1"
0,3.72568585579065,0.698,0.078,0,"2","FOLR2"
0,3.68516037555934,0.691,0.081,0,"2","MS4A7"
0,3.61960577819115,0.409,0.036,0,"2","SIGLEC1"
0,3.58255383033306,0.745,0.091,0,"2","MS4A4A"
0,3.55944954980983,0.27,0.031,0,"2","TLR5"
0,3.53327502930133,0.771,0.1,0,"2","F13A1"
0,3.4692187130594,0.738,0.116,0,"2","HMOX1"
0,3.43096042262323,0.94,0.172,0,"2","C1QA"
0,3.41931218013728,0.854,0.102,0,"2","MSR1"
0,3.36268336108799,0.704,0.139,0,"2","STAB1"
0,3.36043467384502,0.934,0.136,0,"2","C1QC"
0,3.35925722621031,0.617,0.061,0,"2","GPR34"
0,3.3385765339473,0.711,0.128,0,"2","CD68"
0,3.32661907143305,0.328,0.037,0,"2","MRC1L1"
0,3.32515602176581,0.332,0.054,0,"2","LYVE1"
0,3.31614272878312,0.566,0.086,0,"2","ADAM28"
0,3.29052398040979,0.574,0.072,0,"2","CYBB"
0,3.28460819231233,0.638,0.133,0,"2","APOC1"
0,3.27053410164881,0.932,0.152,0,"2","C1QB"
0,3.26579804156588,0.579,0.099,0,"2","NPL"
0,3.25557994285643,0.836,0.117,0,"2","CSF1R"
0,3.21495845535383,0.524,0.071,0,"2","ADAP2"
0,3.19578541932848,0.33,0.061,0,"2","C2"
0,3.18512417481503,0.37,0.046,0,"2","TLR2"
0,3.18424661101032,0.302,0.038,0,"2","ADORA3"
0,3.14852853033522,0.523,0.063,0,"2","TFEC"
0,3.14175795371557,0.877,0.232,0,"2","MAFB"
0,5.90830294254266,0.339,0.031,0,"3","ANGPTL7"
0,5.26161709707785,0.304,0.012,0,"3","SHISA3"
0,4.94961110900763,0.997,0.447,0,"3","APOD"
0,4.76751713359192,0.31,0.014,0,"3","ADH1B"
3.56290397149248e-257,4.57880183151581,0.456,0.149,1.13161393038573e-252,"3","PTGDS"
0,4.38978703622142,0.297,0.024,0,"3","ENTPD2"
0,4.1812271959526,0.329,0.043,0,"3","LINC01088"
0,3.98024055720976,0.287,0.031,0,"3","GPR133"
0,3.95608043114904,0.609,0.055,0,"3","CLDN1"
0,3.92451091725613,0.668,0.072,0,"3","VIT"
0,3.74952381102607,0.325,0.052,0,"3","PODNL1"
0,3.68514715771788,0.498,0.069,0,"3","FOXS1"
0,3.63567725555398,0.342,0.031,0,"3","FMO2"
0,3.59157815745111,0.654,0.126,0,"3","FZD2"
0,3.49303903020556,0.556,0.089,0,"3","PI16"
0,3.41826829060713,0.542,0.122,0,"3","PTCH1"
0,3.32330860149985,0.784,0.142,0,"3","CYP1B1"
1.15689100379962e-315,3.2843126671135,0.325,0.061,3.67440151716798e-311,"3","WFDC1"
8.50573519418332e-312,3.21653470946424,0.275,0.042,2.70150655502457e-307,"3","P2RY14"
0,3.21126093183934,0.95,0.284,0,"3","ABCA8"
7.98446834022384e-277,3.2064017446739,0.395,0.102,2.53594698953849e-272,"3","PAMR1"
2.00482245967214e-255,3.18542299945217,0.336,0.08,6.36751661416468e-251,"3","C2orf40"
0,3.16953664585077,0.396,0.058,0,"3","OMD"
8.22451318006089e-319,3.12634605882223,0.538,0.174,2.61218763111914e-314,"3","SRPX"
0,3.04210226034751,0.393,0.079,0,"3","TNXB"
0,3.03821302934929,0.788,0.173,0,"3","ABCA9"
6.32104607797092e-224,2.92314431134448,0.345,0.092,2.00762744482435e-219,"3","OSR2"
0,2.86208151581938,0.448,0.093,0,"3","SOX9"
4.10141686332006e-256,2.86038562617541,0.27,0.05,1.30265100995908e-251,"3","KCNK2"
3.08182994589186e-216,2.85292227007947,0.299,0.071,9.78820009114712e-212,"3","SOX8"
6.916186338427e-202,3.05184135754099,0.299,0.074,2.1966499429478e-197,"4","FAT3"
4.02569113770456e-286,2.59352033748399,0.536,0.187,1.27859976224635e-281,"4","AL132709.5"
2.74276404573386e-111,2.496780712299,0.266,0.091,8.7112928856553e-107,"4","COL24A1"
1.75029554822799e-245,2.46754315201504,0.424,0.123,5.55911369072691e-241,"4","BMP5"
1.15002228136764e-141,2.43979321351757,0.294,0.092,3.65258576785175e-137,"4","MEGF10"
3.28939393651362e-159,2.43578551932951,0.347,0.116,1.04474440817609e-154,"4","DNM3OS"
7.50732665223221e-111,2.43083480614926,0.282,0.101,2.38440201801547e-106,"4","WISP1"
