"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
"COL15A1",2.30745765161159e-05,1.82382968668198,0.137,0.03,0.732871624728356,"COL15A1","Macrophage"
"CD44",0.00199514720548798,0.895247365635668,0.745,0.51,1,"CD44","Macrophage"
"MALAT1",0.00908416260506817,0.409253061863014,1,0.976,1,"MALAT1","Macrophage"
"ZEB2",0.0323091013964884,0.359974736880082,0.765,0.65,1,"ZEB2","Macrophage"
"CTSD",0.0434169083907596,0.237879578700506,0.647,0.479,1,"CTSD","Macrophage"
"FLT1",0.0553455364161259,1.40716687902481,0.137,0.067,1,"FLT1","Macrophage"
"SERPINF1",0.0685485362668004,-1.14971792719568,0.137,0.244,1,"SERPINF1","Macrophage"
"MMP14",0.108018730547119,0.368819416588662,0.235,0.154,1,"MMP14","Macrophage"
"VIM",0.147302914899509,-0.376543682761327,0.784,0.836,1,"VIM","Macrophage"
"COL6A2",0.186211737693544,-0.435124207191182,0.275,0.193,1,"COL6A2","Macrophage"
"PLAUR",0.198393601394152,0.200273652266388,0.706,0.637,1,"PLAUR","Macrophage"
"PLAU",0.255081966858554,-0.309962721340481,0.549,0.407,1,"PLAU","Macrophage"
"TIMP2",0.257596973395017,0.110675921775925,0.824,0.721,1,"TIMP2","Macrophage"
"ENG",0.2771694825089,0.287552021787884,0.451,0.401,1,"ENG","Macrophage"
"S100A4",0.421251005934211,0.698722964686531,0.647,0.565,1,"S100A4","Macrophage"
"CTSL",0.48021197590382,-0.174613755120367,0.686,0.631,1,"CTSL","Macrophage"
"COL1A2",0.531417633523935,0.104427135768851,0.275,0.316,1,"COL1A2","Macrophage"
"COL3A1",0.580485868999623,-0.745332664584688,0.275,0.302,1,"COL3A1","Macrophage"
"CXCR4",0.596700066737434,-0.511047451596574,0.451,0.466,1,"CXCR4","Macrophage"
"VEGFB",0.647185843703134,-0.642303354409912,0.471,0.473,1,"VEGFB","Macrophage"
"TIMP1",0.710033789488135,-0.260807540825441,0.725,0.674,1,"TIMP1","Macrophage"
"MMP2",0.721218824698482,0.111339549655005,0.196,0.186,1,"MMP2","Macrophage"
"EPAS1",0.721435483534849,-0.412524787688477,0.098,0.115,1,"EPAS1","Macrophage"
"COL1A1",0.751072668082092,-0.422883168737207,0.294,0.313,1,"COL1A1","Macrophage"
"RHOA",0.776828931009588,-0.220059084358152,0.843,0.754,1,"RHOA","Macrophage"
"MTA1",0.846505234500192,0.209772510518715,0.118,0.11,1,"MTA1","Macrophage"
"THBS1",0.862038592689247,0.104654340911719,0.157,0.164,1,"THBS1","Macrophage"
"ADAM10",0.93695716726916,-0.306584243637849,0.333,0.324,1,"ADAM10","Macrophage"
"VEGFA",0.955076860272317,-0.599156661967284,0.353,0.327,1,"VEGFA","Macrophage"
"RAC1",0.962138839400331,-0.22029172311862,0.882,0.767,1,"RAC1","Macrophage"
"COL6A1",0.987985636588034,-1.1402221033181,0.157,0.153,1,"COL6A1","Macrophage"
