"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
"COL5A2",0.000108602232240049,1.85498022678462,0.178,0.075,1,"COL5A2","Macrophage (M2-Like)"
"COL6A3",0.00319844104371881,0.884193467609514,0.168,0.085,1,"COL6A3","Macrophage (M2-Like)"
"COL5A1",0.00333670483389037,0.930983737902303,0.178,0.09,1,"COL5A1","Macrophage (M2-Like)"
"SERPINF1",0.0100883301625569,0.387288356027177,0.393,0.259,1,"SERPINF1","Macrophage (M2-Like)"
"VEGFA",0.0245480879637036,0.566739403068987,0.449,0.35,1,"VEGFA","Macrophage (M2-Like)"
"CTSB",0.033642758843496,-0.280702211814634,0.953,0.949,1,"CTSB","Macrophage (M2-Like)"
"CTSL",0.0494056778190536,-0.540477508647191,0.682,0.724,1,"CTSL","Macrophage (M2-Like)"
"THBS1",0.0512302166693055,-0.857753880485775,0.131,0.21,1,"THBS1","Macrophage (M2-Like)"
"MTA1",0.0577901942239071,0.429918822001464,0.187,0.123,1,"MTA1","Macrophage (M2-Like)"
"PLAUR",0.0805468842294507,-0.320020175123974,0.598,0.63,1,"PLAUR","Macrophage (M2-Like)"
"COL4A1",0.107186438910933,0.623586737925364,0.103,0.062,1,"COL4A1","Macrophage (M2-Like)"
"COL4A2",0.1124575970986,0.588446225151541,0.121,0.079,1,"COL4A2","Macrophage (M2-Like)"
"PLAU",0.122218463639396,-0.777261772738969,0.318,0.37,1,"PLAU","Macrophage (M2-Like)"
"COL1A1",0.151223530782655,1.5113556538981,0.467,0.406,1,"COL1A1","Macrophage (M2-Like)"
"HIF1A",0.151346536301939,-0.211875948764658,0.822,0.833,1,"HIF1A","Macrophage (M2-Like)"
"ADAM10",0.218854948871288,-0.140826275806024,0.308,0.378,1,"ADAM10","Macrophage (M2-Like)"
"TIMP2",0.223922204490181,0.100230331783165,0.879,0.814,1,"TIMP2","Macrophage (M2-Like)"
"ARNT",0.224598150362935,-0.394711140477252,0.112,0.155,1,"ARNT","Macrophage (M2-Like)"
"VEGFB",0.22481329175292,-0.321476685581199,0.467,0.542,1,"VEGFB","Macrophage (M2-Like)"
"ZEB1",0.22926387334873,0.496721183865043,0.14,0.103,1,"ZEB1","Macrophage (M2-Like)"
"MMP2",0.308672850149736,0.401414705202457,0.215,0.18,1,"MMP2","Macrophage (M2-Like)"
"COL6A2",0.406424973741871,0.860311215921705,0.262,0.233,1,"COL6A2","Macrophage (M2-Like)"
"MMP14",0.451595238716436,0.31944259208473,0.243,0.222,1,"MMP14","Macrophage (M2-Like)"
"COL6A1",0.455025037608818,0.615552446859439,0.196,0.174,1,"COL6A1","Macrophage (M2-Like)"
"EPAS1",0.456463703168659,-0.396505564741526,0.14,0.169,1,"EPAS1","Macrophage (M2-Like)"
"ADAM17",0.531511664690845,0.139099104197055,0.43,0.393,1,"ADAM17","Macrophage (M2-Like)"
"COL3A1",0.602977999138567,1.13805296337739,0.318,0.305,1,"COL3A1","Macrophage (M2-Like)"
"COL1A2",0.682751941878838,1.32504424555035,0.393,0.372,1,"COL1A2","Macrophage (M2-Like)"
"CXCR4",0.744290804747238,-0.103851281175837,0.579,0.569,1,"CXCR4","Macrophage (M2-Like)"
"TIMP1",0.885176451004918,-0.132553933564918,0.813,0.787,1,"TIMP1","Macrophage (M2-Like)"
"CTSD",0.919338913868223,-0.532217316063152,0.766,0.676,1,"CTSD","Macrophage (M2-Like)"
