"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
"RAC1",9.50810808624059e-05,-0.346182051709988,0.779,0.835,1,"RAC1","Schwann cell"
"ZEB1",0.000122965465912665,-0.725637535606717,0.19,0.324,1,"ZEB1","Schwann cell"
"THBS2",0.000200201731322166,-0.397631741892034,0.712,0.795,1,"THBS2","Schwann cell"
"CTSB",0.00203146880237944,-0.416803203663577,0.341,0.495,1,"CTSB","Schwann cell"
"ADAM10",0.00212097229169775,-0.300032993190997,0.65,0.747,1,"ADAM10","Schwann cell"
"FGF2",0.00442506072130921,-0.140638822545137,0.434,0.604,1,"FGF2","Schwann cell"
"VEGFA",0.00484173236704646,0.299117459191152,0.735,0.698,1,"VEGFA","Schwann cell"
"MTA1",0.0061125264280308,-0.185312383417423,0.159,0.261,1,"MTA1","Schwann cell"
"COL5A2",0.016914290317226,0.214506293003771,0.85,0.805,1,"COL5A2","Schwann cell"
"PGF",0.0169583216767394,-0.849630903386409,0.093,0.155,1,"PGF","Schwann cell"
"VIM",0.0300654755468819,0.11455842211105,1,0.999,1,"VIM","Schwann cell"
"CDC42",0.0408908089843,-0.229082106556818,0.673,0.751,1,"CDC42","Schwann cell"
"COL13A1",0.0484454878000446,-0.115054706152735,0.119,0.18,1,"COL13A1","Schwann cell"
"TIMP3",0.0521227989381861,0.127211305595855,0.965,0.957,1,"TIMP3","Schwann cell"
"ADAM17",0.0651747627311436,-0.188317975720192,0.544,0.654,1,"ADAM17","Schwann cell"
"COL18A1",0.0719185563998908,0.229820378468142,0.735,0.768,1,"COL18A1","Schwann cell"
"HIF1A",0.0820456559859375,0.214772716000629,0.204,0.291,1,"HIF1A","Schwann cell"
"TWIST1",0.124019629682954,-0.132436845932084,0.08,0.117,1,"TWIST1","Schwann cell"
"PLAUR",0.125580299208007,-0.201559280940383,0.527,0.615,1,"PLAUR","Schwann cell"
"TWIST2",0.131972209137982,-0.213811687843652,0.066,0.1,1,"TWIST2","Schwann cell"
"COL6A2",0.134599531710646,0.171500147652468,0.827,0.827,1,"COL6A2","Schwann cell"
"CTSD",0.147733499413387,-0.24854523072566,0.128,0.169,1,"CTSD","Schwann cell"
"COL8A1",0.1691680828894,0.103455959855381,0.934,0.914,1,"COL8A1","Schwann cell"
"COL4A2",0.173874591703596,0.212375770058471,0.743,0.777,1,"COL4A2","Schwann cell"
"COL19A1",0.224788133795078,0.276711588562646,0.133,0.175,1,"COL19A1","Schwann cell"
"CDH2",0.257955892558469,0.361429121416947,0.124,0.159,1,"CDH2","Schwann cell"
"ENG",0.29848310970108,-0.125364425593001,0.469,0.551,1,"ENG","Schwann cell"
"THBS1",0.353992751075708,0.305819017036418,0.319,0.396,1,"THBS1","Schwann cell"
"SNAI1",0.383502239442903,0.246530158750495,0.146,0.18,1,"SNAI1","Schwann cell"
"COL27A1",0.454374589716801,0.500093301611696,0.146,0.136,1,"COL27A1","Schwann cell"
"S100A4",0.455016396915833,-0.285027660585105,0.801,0.826,1,"S100A4","Schwann cell"
"COL16A1",0.463644609763539,0.575952690920614,0.314,0.323,1,"COL16A1","Schwann cell"
"COL5A3",0.481886705811536,0.437320828392859,0.279,0.284,1,"COL5A3","Schwann cell"
"PDGFRB",0.528769568237026,0.232581149831239,0.19,0.23,1,"PDGFRB","Schwann cell"
"CTSL",0.572379981722706,0.141626498910206,0.633,0.68,1,"CTSL","Schwann cell"
"COL4A1",0.581612835509475,0.112549814445386,0.628,0.663,1,"COL4A1","Schwann cell"
"CXCR4",0.58381880240464,0.471595250266213,0.208,0.242,1,"CXCR4","Schwann cell"
"ANGPT1",0.613861489083481,0.392482331047941,0.221,0.256,1,"ANGPT1","Schwann cell"
"COL7A1",0.790595728227326,0.513872277409322,0.35,0.417,1,"COL7A1","Schwann cell"
"COL5A1",0.835552329140904,0.28974541578109,0.447,0.508,1,"COL5A1","Schwann cell"
"COL15A1",0.855589899333877,0.148389667063271,0.407,0.427,1,"COL15A1","Schwann cell"
