"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.44649776375448e-159,2.50673149883659,0.927,0.621,7.77032154746061e-155,"0","IGFBP5"
9.40262844093647e-158,1.50031659602116,0.978,0.6,2.98636881912583e-153,"0","VEGFA"
1.03445668580293e-150,1.65891451449319,0.942,0.712,3.28553787977869e-146,"0","NDRG1"
2.91722629777489e-145,2.68547074256123,0.632,0.161,9.26540244436283e-141,"0","SORCS3"
1.56170762673188e-133,1.04350019363945,1,0.99,4.96013959326312e-129,"0","GAPDH"
1.79224135074168e-130,2.37840141046745,0.581,0.134,5.69233775409066e-126,"0","ADM"
5.48878647223429e-127,0.882441799282345,0.994,0.942,1.74329347144633e-122,"0","ALDOA"
4.66532750387167e-114,1.4592491817596,0.996,0.959,1.48175466850468e-109,"0","GSN"
1.74028560639695e-105,1.86835237296612,0.734,0.378,5.52732111447735e-101,"0","SLC6A6"
1.05810513821494e-101,1.06862454680053,0.992,0.955,3.36064772948447e-97,"0","LGALS3"
5.25770033661591e-101,2.09915248662976,0.572,0.176,1.66989820391258e-96,"0","ESPN"
9.91665080856749e-100,1.87577729994658,0.723,0.389,3.14962746330912e-95,"0","TRIM2"
1.12133955627773e-98,2.7319630740667,0.486,0.129,3.5614865646937e-94,"0","AC007563.5"
2.37628388617208e-97,0.957540180496962,0.979,0.79,7.54731525087113e-93,"0","RP11-234A1.1"
1.265480292895e-96,3.10662082607016,0.378,0.062,4.01929195826382e-92,"0","HS3ST5"
3.16329660741669e-95,0.909451505114884,0.994,0.808,1.00469463548161e-90,"0","RPL13P12"
3.78635466350928e-95,1.58076791747405,0.862,0.615,1.20258410467718e-90,"0","GLUL"
1.93896049846997e-94,0.959935812646255,0.978,0.772,6.15833243919048e-90,"0","AC004453.8"
6.54268649509858e-94,1.78838769623402,0.734,0.403,2.07802265770826e-89,"0","TGFA"
3.07332462012627e-91,1.37220082940736,0.87,0.676,9.76118632598305e-87,"0","FAM46A"
6.12642704435456e-90,1.18690131921615,0.879,0.648,1.94581449355745e-85,"0","MIR4426"
1.65813360734634e-89,1.11883536756637,0.897,0.653,5.26639815029273e-85,"0","RP11-51O6.1"
2.87321233594516e-89,2.3693478811877,0.494,0.143,9.12560970019543e-85,"0","NXPH4"
1.36813565838256e-88,1.01809672226382,0.948,0.713,4.34533566458883e-84,"0","RPL7AP6"
2.16279925332481e-88,0.998219789678317,0.95,0.725,6.86926670848493e-84,"0","RPL7AP30"
3.42419741362205e-88,0.975616451752242,0.949,0.789,1.0875593405405e-83,"0","CAV1"
1.05861122311557e-87,0.951130577877974,0.957,0.772,3.36225510573735e-83,"0","RPS23P8"
4.03473336499666e-84,2.10459895018881,0.858,0.605,1.28147166405659e-79,"0","IGFBP2"
1.59288952120826e-82,1.03995047330163,0.932,0.714,5.05917640830955e-78,"0","RPS3AP6"
4.5137323831754e-82,0.757440701151907,0.996,0.821,1.43360654222034e-77,"0","MTND2P28"
9.22949707685175e-82,0.798428745069564,0.985,0.895,2.93138056657888e-77,"0","LDHA"
1.06924010213617e-81,0.985568521091925,0.935,0.734,3.39601348839467e-77,"0","RP11-742N3.1"
