"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.265480292895e-96,3.10662082607016,0.378,0.062,4.01929195826382e-92,"0","HS3ST5"
1.55845495401787e-71,3.10194455495734,0.306,0.057,4.94980877945615e-67,"0","PCDH10"
6.23821468496145e-47,2.78780446423316,0.437,0.206,1.98131936609061e-42,"0","CPE"
1.97547742927971e-64,2.74135451758667,0.354,0.096,6.27431386313527e-60,"0","FGFRL1"
1.12133955627773e-98,2.7319630740667,0.486,0.129,3.5614865646937e-94,"0","AC007563.5"
2.91722629777489e-145,2.68547074256123,0.632,0.161,9.26540244436283e-141,"0","SORCS3"
2.68917096936647e-56,2.65930077995751,0.251,0.047,8.54107591580483e-52,"0","ESPNP"
2.44649776375448e-159,2.50673149883659,0.927,0.621,7.77032154746061e-155,"0","IGFBP5"
1.79224135074168e-130,2.37840141046745,0.581,0.134,5.69233775409066e-126,"0","ADM"
2.87321233594516e-89,2.3693478811877,0.494,0.143,9.12560970019543e-85,"0","NXPH4"
4.31512631281814e-104,3.38963283498442,0.357,0.044,1.37052726821417e-99,"1","CLDN10-AS1"
8.38715662447338e-148,3.14490194555913,0.468,0.051,2.66384481549899e-143,"1","ANO3"
9.30947633759157e-222,3.02072317091474,0.866,0.273,2.95678277958246e-217,"1","FREM1"
1.02368983741065e-79,2.73320571700292,0.285,0.035,3.25134129259998e-75,"1","Z97053.1"
5.66844207199068e-206,2.69913398003494,0.777,0.169,1.80035388648496e-201,"1","STON2"
4.32239658978693e-125,2.66004615931023,0.572,0.136,1.37283638088223e-120,"1","DSCAML1"
3.75361835322796e-87,2.65046339502939,0.345,0.053,1.19218672516873e-82,"1","BAI1"
1.84141751670983e-122,2.60470523438847,0.602,0.159,5.84852617482209e-118,"1","XYLT1"
2.68672502687604e-174,2.54445822520405,0.743,0.19,8.53330735786098e-170,"1","ACPP"
1.37741283872844e-70,2.39339124475356,0.423,0.118,4.3748009170854e-66,"1","NKAIN2"
5.37712643288722e-88,3.81445758289811,0.326,0.044,1.70782912634931e-83,"2","FRMPD4"
2.88832936146334e-67,3.19299512802034,0.4,0.11,9.1736228849437e-63,"2","LOX"
3.21868969120766e-70,2.72180177310763,0.43,0.123,1.02228803282447e-65,"2","BDNF"
4.172699389979e-94,2.56495575265641,0.536,0.152,1.32529105325123e-89,"2","GFRA2"
1.340953840506e-95,2.27820912304895,0.714,0.317,4.25900349283112e-91,"2","NCAM2"
6.94227394919872e-44,2.25764516689693,0.266,0.067,2.204935629005e-39,"2","GPR17"
1.18593911449526e-43,2.21575920060771,0.351,0.12,3.7666612215484e-39,"2","RGS7"
7.4001832257222e-40,2.21503641571862,0.277,0.079,2.35037219432163e-35,"2","LPHN3"
4.04719415065527e-76,2.19491929748729,0.661,0.301,1.28542933418962e-71,"2","XKR4"
2.35559540228384e-123,2.18705123399082,0.778,0.309,7.48160655719371e-119,"2","DGKB"
2.97768584601008e-95,3.96419426954085,0.322,0.025,9.45742801551261e-91,"3","CSMD2"
3.23086742086505e-91,3.73939173169845,0.397,0.049,1.02615580154095e-86,"3","TAC4"
7.20556576134492e-115,3.44645573673054,0.449,0.048,2.28855974146076e-110,"3","GALNT15"
5.76153811716271e-61,3.39158231072473,0.562,0.181,1.82992212139205e-56,"3","CLVS1"
1.61471224074276e-163,3.31146690632272,0.822,0.155,5.12848754782307e-159,"3","GJB2"
6.26487197307548e-122,3.30980698016844,0.401,0.03,1.9897859873685e-117,"3","CXCL12"
6.06175851971329e-103,2.91275370664497,0.757,0.212,1.92527512344614e-98,"3","TGFBI"
5.72394923283789e-93,2.90096389538319,0.582,0.123,1.81798351584164e-88,"3","RP11-176N18.2"
2.79128376859872e-132,2.82475312951419,0.562,0.066,8.86539637744639e-128,"3","GJB6"
1.94555548335515e-105,2.81682964299407,0.688,0.169,6.17927877068429e-101,"3","TNFSF10"
4.28453432032467e-122,6.92377589341736,0.252,0.002,1.36081094547832e-117,"4","MZB1"
2.67759529488739e-161,6.50556922842334,0.322,0.002,8.50431041609183e-157,"4","IGJ"
7.98581254226351e-219,6.20610215511067,0.441,0.004,2.53637392154831e-214,"4","HSD17B1"
1.12372638237802e-146,5.88137409975335,0.308,0.003,3.56906736307082e-142,"4","AC011043.1"
6.23527890389957e-130,5.83519153942501,0.273,0.003,1.98038693266754e-125,"4","CAPN3"
9.59948617606963e-290,5.81026158620947,0.937,0.049,3.04889280438147e-285,"4","HLA-DRB5"
3.34869857343076e-283,5.6868642972484,0.608,0.007,1.06358015390734e-278,"4","DAP3"
5.72831410850785e-128,5.61349386691818,0.28,0.004,1.81936984400318e-123,"4","ATXN1L"
